what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321911560195
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321911560211
activated,view,com.altera.sbtgui.launch,11.0.0.157,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1321911573823
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321911576418
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1321911576418
activated,view,com.altera.sbtgui.launch,11.0.0.157,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1321911582528
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1321911599360
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1321911604689
closed,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1321911604689
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1321911633883
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1321911645915
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1321911660056
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1321911702402
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1321911709590
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1321911713512
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321911713794
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321911734779
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321911737451
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321911740545
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321911740561
