what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1321905371621
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1321905371621
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1321905371621
started,bundle,org.eclipse.team.core,3.5.100.R36x_v20100825-0800,"org.eclipse.team.core",1321905371621
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1321905371621
started,bundle,org.eclipse.team.cvs.ui,3.3.301.R36x_v20100825-0800,"org.eclipse.team.cvs.ui",1321905371621
started,bundle,org.eclipse.team.ui,3.5.101.R36x_v20100825-0800,"org.eclipse.team.ui",1321905371621
started,bundle,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui",1321905371621
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1321905371621
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1321905371621
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1321905371621
started,bundle,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.ide",1321905371621
started,bundle,org.eclipse.ui.intro,3.4.0.v20100427,"org.eclipse.ui.intro",1321905371621
started,bundle,org.eclipse.ui.intro.universal,3.2.402.r36_v20100702,"org.eclipse.ui.intro.universal",1321905371621
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1321905371621
started,bundle,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.resources",1321905371621
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1321905371621
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1321905371621
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1321905371636
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1321905371636
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1321905371636
started,bundle,com.altera.sbtgui.project,11.0.0.157,"com.altera.sbtgui.project",1321905371636
os,sysinfo,,,"win32",1321905371636
arch,sysinfo,,,"x86",1321905371636
ws,sysinfo,,,"win32",1321905371636
locale,sysinfo,,,"en_US",1321905371636
processors,sysinfo,,,"8",1321905371636
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1321905371636
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1321905371636
java.specification.name,sysinfo,,,"Java Platform API Specification",1321905371636
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1321905371636
java.specification.version,sysinfo,,,"1.6",1321905371636
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1321905371636
java.version,sysinfo,,,"1.6.0_23",1321905371636
java.vm.info,sysinfo,,,"mixed mode",1321905371636
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1321905371636
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1321905371636
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1321905371636
java.vm.specification.version,sysinfo,,,"1.0",1321905371636
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1321905371636
java.vm.version,sysinfo,,,"19.0-b09",1321905371636
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1321905371652
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1321905371698
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1321905371808
started,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.ui",1321905371854
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1321905371948
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1321905372057
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1321905372104
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1321905372197
started,bundle,com.altera.sbtgui.integration,11.0.0.157,"com.altera.sbtgui.integration",1321905372493
started,bundle,com.altera.systemconsole,11.0.0.157,"com.altera.systemconsole",1321905372540
started,bundle,com.altera.utilities,11.0.0.157,"com.altera.utilities",1321905373600
started,bundle,com.altera.sbtgui.launch,11.0.0.157,"com.altera.sbtgui.launch",1321905374925
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1321905375564
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.refresh",1321905376437
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321905376702
started,bundle,com.altera.sbtgui.core,11.0.0.157,"com.altera.sbtgui.core",1321905376717
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321905376795
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1321905378058
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1321905378089
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.refresh",1321905379133
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1321905381112
activated,view,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.internal.introview",1321905386116
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1321905386131
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321905407312
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321905431985
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1321905432032
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1321905433092
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1321905433575
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1321905435243
started,bundle,org.eclipse.cdt.debug.core,7.0.0.201009141542,"org.eclipse.cdt.debug.core",1321905435445
started,bundle,org.eclipse.cdt.debug.ui,7.0.0.201009141542,"org.eclipse.cdt.debug.ui",1321905435445
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321905436536
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1321905436614
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201009141542,"org.eclipse.cdt.dsf.gdb.ui",1321905441056
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321905443940
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1321905447976
started,bundle,org.eclipse.cdt.launch,6.1.0.201009141542,"org.eclipse.cdt.launch",1321905448008
started,bundle,org.eclipse.cdt.dsf,2.1.0.201009141542,"org.eclipse.cdt.dsf",1321905451655
started,bundle,org.eclipse.cdt.dsf.gdb,3.0.0.201009141542,"org.eclipse.cdt.dsf.gdb",1321905451655
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1321905451764
opened,view,com.altera.sbtgui.launch,11.0.0.157,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1321905454787
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201009141542,"org.eclipse.cdt.debug.mi.ui",1321905455551
started,bundle,org.eclipse.cdt.debug.mi.core,7.0.1.201009141542,"org.eclipse.cdt.debug.mi.core",1321905455707
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1321905459074
activated,view,com.altera.sbtgui.launch,11.0.0.157,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1321905487097
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321905490370
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321905491711
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1321905492334
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321905512347
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321905523833
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321905531813
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1321905539357
started,bundle,org.eclipse.cdt.mylyn.ui,1.1.3.v20100909-0100-e3x,"org.eclipse.cdt.mylyn.ui",1321905539419
