what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1317230920592
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1317231055489
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1317231086567
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1317231096994
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1317231097259
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1317231183013
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1317231244469
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1317231277246
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1317231373303
executed,command,,,"AUTOGEN:::org.eclipse.ui.texteditor.ruler.actions/org.eclipse.cdt.internal.ui.text.correction.CSelectRulerAction",1317231380706
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1317231413172
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1317231414060
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1317231414325
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1317231430753
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1317231432514
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1317231436021
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1317231438094
started,bundle,org.eclipse.cdt.launch,6.1.0.201009141542,"org.eclipse.cdt.launch",1317231441554
started,bundle,com.altera.debug.cdi.gdb.plugin,11.0.0.157,"com.altera.debug.cdi.gdb.plugin",1317231449051
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1317231449347
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1317231472819
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1317231472835
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1317231472851
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1317231476903
started,bundle,org.eclipse.cdt.dsf,2.1.0.201009141542,"org.eclipse.cdt.dsf",1317231479054
started,bundle,org.eclipse.cdt.dsf.gdb,3.0.0.201009141542,"org.eclipse.cdt.dsf.gdb",1317231479054
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1317231479085
opened,view,com.altera.sbtgui.launch,11.0.0.157,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1317231481329
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201009141542,"org.eclipse.cdt.debug.mi.ui",1317231481516
started,bundle,org.eclipse.cdt.debug.mi.core,7.0.1.201009141542,"org.eclipse.cdt.debug.mi.core",1317231481532
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1317231501560
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1317231502823
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1317231502854
closed,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1317231502854
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1317231672196
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1317231675843
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1317231680035
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1317231694967
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1317231696759
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1317231702713
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1317231702884
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.findReplace",1317231702900
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1317231704692
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1317231718112
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1317231719702
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1317231719982
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1317231732763
opened,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.TaskList",1317231764293
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.TaskList",1317231764324
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1317231765119
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1317231766101
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1317231766366
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1317231777448
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1317231781531
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1317231784197
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1317231786270
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1317231787361
